Pos,Equipo,G,E,P,Goles,+/-,Pts
1,SD Huesca,21,7,14,55:42,13,70
2,Cádiz CF,19,12,11,50:39,11,69
3,Real Zaragoza,18,11,13,59:53,6,65
4,UD Almería,17,13,12,62:43,19,64
5,Girona FC,17,12,13,48:43,5,63
6,Elche CF,16,13,13,52:44,8,61
7,Rayo Vallecano,13,21,8,60:50,10,60
8,CF Fuenlabrada,15,15,12,47:40,7,60
9,UD Las Palmas,14,15,13,49:46,3,57
10,AD Alcorcón,13,18,11,52:50,2,57
11,CD Mirandés,13,17,12,55:59,-4,56
12,CD Tenerife,14,13,15,50:46,4,55
13,Real Sporting,14,12,16,40:38,2,54
14,Málaga CF,11,20,11,35:33,2,53
15,Real Oviedo,13,14,15,49:53,-4,53
16,CD Lugo,12,16,14,43:54,-11,52
17,Albacete,13,13,16,36:46,-10,52
18,Ponferradina,12,15,15,45:50,-5,51
19,RC Deportivo,12,15,15,43:60,-17,51
20,CD Numancia,13,11,18,45:53,-8,50
21,Extremadura,10,13,19,43:59,-16,43
22,Racing,5,18,19,39:56,-17,33
