Pos,Equipo,G,E,P,Goles,+/-,Pts
1,RC Deportivo,26,4,8,68:40,28,82
2,RC Celta,23,6,9,74:36,38,75
3,Real Valladolid,21,12,5,62:31,31,75
4,Hércules CF,21,5,12,57:35,22,68
5,AD Alcorcón,19,9,10,52:37,15,66
6,Córdoba CF,18,10,10,48:39,9,64
7,UD Almería,15,16,7,58:41,17,61
8,Elche CF,16,6,16,52:48,4,54
9,Barcelona B,14,11,13,54:48,6,53
10,UD Las Palmas,14,10,14,52:52,0,52
11,SD Huesca,13,9,16,44:55,-11,48
12,CD Numancia,12,12,14,45:49,-4,48
13,Recreativo,12,10,16,48:47,1,46
14,Villarreal CF B,12,10,16,46:55,-9,46
15,Xerez CD,12,9,17,45:56,-11,45
16,CD Guadalajara,12,7,19,44:68,-24,43
17,Real Murcia,12,7,19,42:60,-18,43
18,CE Sabadell,10,13,15,40:55,-15,43
19,Girona FC,10,11,17,52:58,-6,41
20,CD Alcoyano,8,10,20,41:70,-29,34
21,FC Cartagena,7,12,19,29:54,-25,33
22,Gimnàstic,6,11,21,33:52,-19,29
