Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Granada CF,22,9,11,55:30,25,75
2,UD Las Palmas,18,18,6,49:29,20,72
3,Levante UD,18,18,6,46:30,16,72
4,Alavés,19,14,9,47:33,14,71
5,SD Eibar,19,14,9,45:36,9,71
6,Albacete,17,16,9,58:47,11,67
7,FC Andorra,16,11,15,47:37,10,59
8,Real Oviedo,16,11,15,34:35,-1,59
9,FC Cartagena,16,10,16,47:49,-2,58
10,CD Tenerife,14,15,13,42:37,5,57
11,Burgos CF,13,15,14,33:35,-2,54
12,Racing,14,12,16,39:40,-1,54
13,Real Zaragoza,12,17,13,40:39,1,53
14,CD Leganés,14,11,17,37:42,-5,53
15,SD Huesca,11,19,12,36:36,0,52
16,CD Mirandés,13,13,16,48:54,-6,52
17,Real Sporting,11,17,14,43:48,-5,50
18,Villarreal CF B,13,11,18,49:55,-6,50
19,Ponferradina,9,17,16,40:53,-13,44
20,Málaga CF,10,14,18,37:44,-7,44
21,UD Ibiza,7,13,22,33:66,-33,34
22,CD Lugo,6,13,23,27:57,-30,31
