Pos,Equipo,G,E,P,Goles,+/-,Pts
1,CD Leganés,20,14,8,56:27,29,74
2,Real Valladolid,21,9,12,51:36,15,72
3,SD Eibar,21,8,13,72:48,24,71
4,RCD Espanyol,17,18,7,59:40,19,69
5,Real Sporting,18,11,13,51:42,9,65
6,Real Oviedo,17,13,12,55:39,16,64
7,Racing,18,10,14,63:55,8,64
8,Levante UD,13,20,9,49:45,4,59
9,Burgos CF,16,11,15,52:54,-2,59
10,Racing Ferrol,15,14,13,49:52,-3,59
11,Elche CF,16,11,15,43:46,-3,59
12,CD Tenerife,15,11,16,38:41,-3,56
13,Albacete,12,15,15,50:56,-6,51
14,FC Cartagena,14,9,19,37:51,-14,51
15,Real Zaragoza,12,15,15,42:42,0,51
16,CD Eldense,12,14,16,46:56,-10,50
17,SD Huesca,11,16,15,36:33,3,49
18,CD Mirandés,12,13,17,47:55,-8,49
19,SD Amorebieta,11,12,19,37:53,-16,45
20,AD Alcorcón,10,14,18,32:53,-21,44
21,FC Andorra,11,10,21,33:53,-20,43
22,Villarreal CF B,11,10,21,41:62,-21,43
