Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Levante UD,24,8,6,53:28,25,80
2,Girona FC,20,8,10,63:40,23,68
3,Getafe CF,16,13,9,46:39,7,61
4,CD Tenerife,14,17,7,45:34,11,59
5,Cádiz CF,15,14,9,49:34,15,59
6,SD Huesca,14,14,10,49:39,10,56
7,Real Valladolid,16,8,14,48:43,5,56
8,Real Oviedo,15,9,14,42:43,-1,54
9,Sevilla Atl.,13,13,12,50:48,2,52
10,CD Lugo,12,13,13,47:48,-1,49
11,CD Numancia,11,15,12,40:46,-6,48
12,Reus Deportiu,11,15,12,26:26,0,48
13,Real Zaragoza,12,11,15,48:49,-1,47
14,Rayo Vallecano,12,10,16,38:40,-2,46
15,UCAM Murcia,10,15,13,38:45,-7,45
16,Córdoba CF,11,12,15,33:47,-14,45
17,UD Almería,12,9,17,41:44,-3,45
18,AD Alcorcón,11,10,17,27:40,-13,43
19,Gimnàstic,9,16,13,42:48,-6,43
20,Elche CF,11,9,18,47:56,-9,42
21,RCD Mallorca,8,15,15,36:45,-9,39
22,CD Mirandés,8,12,18,34:60,-26,36
