Pos,Equipo,G,E,P,Goles,+/-,Pts
1,RC Deportivo,18,11,9,44:30,14,65
2,SD Eibar,17,12,9,45:26,19,63
3,UD Las Palmas,17,9,12,44:40,4,60
4,Real Murcia,14,16,8,52:39,13,58
5,Barcelona B,17,6,15,50:42,8,57
6,Real Sporting,14,14,10,57:49,8,56
7,CE Sabadell,16,6,16,48:55,-7,54
8,CD Tenerife,15,9,14,46:43,3,54
9,Córdoba CF,14,11,13,42:42,0,53
10,Recreativo,14,11,13,48:50,-2,53
11,AD Alcorcón,13,11,14,38:35,3,50
12,CD Lugo,13,11,14,39:45,-6,50
13,Real Zaragoza,13,11,14,45:48,-3,50
14,CD Mirandés,13,10,15,38:51,-13,49
15,Ponferradina,12,12,14,42:43,-1,48
16,CD Numancia,9,20,9,37:36,1,47
17,Real Jaén CF,12,11,15,41:44,-3,47
18,RCD Mallorca,11,12,15,43:56,-13,45
19,Girona FC,10,14,14,46:46,0,44
20,RM Castilla,11,10,17,44:50,-6,43
21,Alavés,10,12,16,50:53,-3,42
22,Hércules CF,10,11,17,41:57,-16,41
