Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Elche CF,22,11,5,49:23,26,77
2,Girona FC,20,7,11,70:49,21,67
3,Villarreal,17,14,7,57:35,22,65
4,AD Alcorcón,20,5,13,52:47,5,65
5,UD Almería,19,8,11,65:47,18,65
6,UD Las Palmas,17,11,10,60:52,8,62
7,Ponferradina,18,6,14,50:45,5,60
8,Barcelona B,15,11,12,74:64,10,56
9,Córdoba CF,15,8,15,51:48,3,53
10,Real Sporting,14,10,14,56:49,7,52
11,CE Sabadell,14,9,15,54:61,-7,51
12,RM Castilla,15,6,17,71:59,12,51
13,CD Lugo,13,10,15,40:49,-9,49
14,Recreativo,14,6,18,44:56,-12,48
15,CD Numancia,11,15,12,47:50,-3,48
16,Hércules CF,12,11,15,40:45,-5,47
17,CD Guadalajara,11,13,14,42:48,-6,46
18,CD Mirandés,10,13,15,30:48,-18,43
19,Real Murcia,10,11,17,39:51,-12,41
20,Racing,10,8,20,31:49,-18,38
21,SD Huesca,9,10,19,39:54,-15,37
22,Xerez CD,6,9,23,33:65,-32,27
