Pos,Equipo,G,E,P,Goles,+/-,Pts
1,CA Osasuna,26,9,7,59:35,24,87
2,Granada CF,22,13,7,52:28,24,79
3,Málaga CF,21,11,10,51:31,20,74
4,Albacete,19,14,9,54:38,16,71
5,RCD Mallorca,19,12,11,53:37,16,69
6,RC Deportivo,17,17,8,50:32,18,68
7,Cádiz CF,16,16,10,53:36,17,64
8,Real Oviedo,17,12,13,48:48,0,63
9,Real Sporting,16,13,13,43:38,5,61
10,UD Almería,15,15,12,51:39,12,60
11,Elche CF,13,16,13,49:52,-3,55
12,UD Las Palmas,12,18,12,48:50,-2,54
13,Extremadura,14,11,17,43:47,-4,53
14,AD Alcorcón,14,10,18,36:42,-6,52
15,Real Zaragoza,13,12,17,49:51,-2,51
16,CD Tenerife,11,17,14,40:50,-10,50
17,CD Numancia,11,16,15,44:50,-6,49
18,CD Lugo,10,17,15,43:51,-8,47
19,R. Majadahonda,12,9,21,46:61,-15,45
20,Gimnàstic,9,9,24,30:63,-33,36
21,Córdoba CF,7,13,22,48:79,-31,34
22,Reus Deportiu,5,6,31,16:48,-32,21
