Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Real Betis,23,9,6,66:33,33,78
2,Girona FC,21,9,8,57:34,23,72
3,Real Sporting,18,18,2,50:27,23,72
4,UD Las Palmas,18,12,8,62:41,21,66
5,Real Valladolid,19,9,10,57:32,25,66
6,Real Zaragoza,14,15,9,56:52,4,57
7,UE Llagostera,14,12,12,35:34,1,54
8,Alavés,14,11,13,47:42,5,53
9,Ponferradina,14,11,13,52:49,3,53
10,AD Alcorcón,12,15,11,42:44,-2,51
11,CD Leganés,14,9,15,40:36,4,51
12,CD Numancia,12,14,12,49:48,1,50
13,CD Mirandés,12,11,15,35:44,-9,47
14,CD Lugo,11,13,14,45:52,-7,46
15,RCD Mallorca,12,9,17,48:57,-9,45
16,Albacete,12,8,18,47:59,-12,44
17,CD Tenerife,9,14,15,33:42,-9,41
18,CA Osasuna,10,10,18,35:55,-20,40
19,Racing,10,8,20,37:48,-11,38
20,CE Sabadell,8,13,17,37:56,-19,37
21,Barcelona B,9,9,20,49:69,-20,36
22,Recreativo,7,11,20,31:56,-25,32
