Pos,Equipo,G,E,P,Goles,+/-,Pts
1,SD Eibar,18,13,7,42:32,10,67
2,Levante UD,16,17,5,41:26,15,65
3,Granada CF,19,8,11,47:28,19,65
4,Alavés,18,11,9,43:30,13,65
5,UD Las Palmas,16,16,6,43:27,16,64
6,Albacete,15,14,9,49:44,5,59
7,FC Cartagena,16,9,13,45:40,5,57
8,Burgos CF,13,14,11,32:29,3,53
9,Real Oviedo,14,10,14,29:31,-2,52
10,CD Mirandés,13,12,13,45:46,-1,51
11,FC Andorra,14,9,15,39:31,8,51
12,CD Tenerife,12,14,12,38:34,4,50
13,Real Zaragoza,11,16,11,36:35,1,49
14,SD Huesca,10,18,10,32:31,1,48
15,Real Sporting,11,15,12,39:39,0,48
16,Racing,12,11,15,34:37,-3,47
17,CD Leganés,12,10,16,31:38,-7,46
18,Villarreal CF B,12,10,16,41:47,-6,46
19,Málaga CF,9,13,16,33:39,-6,40
20,Ponferradina,7,15,16,32:50,-18,36
21,UD Ibiza,6,11,21,31:60,-29,29
22,CD Lugo,5,12,21,23:51,-28,27
