Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Real Betis,23,7,8,76:36,40,76
2,Rayo Vallecano,21,9,8,64:43,21,72
3,Granada CF,17,12,9,65:42,23,63
4,Elche CF,17,12,9,46:36,10,63
5,Barcelona B,17,11,10,72:54,18,62
6,RC Celta,16,14,8,56:39,17,62
7,Real Valladolid,17,9,12,60:47,13,60
8,Girona FC,14,12,12,56:48,8,54
9,Xerez CD,15,9,14,55:56,-1,54
10,Recreativo,12,17,9,43:34,9,53
11,AD Alcorcón,16,5,17,52:47,5,53
12,FC Cartagena,15,8,15,45:54,-9,53
13,SD Huesca,12,15,11,35:38,-3,51
14,CD Numancia,15,4,19,56:61,-5,49
15,UD Las Palmas,11,14,13,50:66,-16,47
16,Villarreal CF B,14,5,19,40:58,-18,47
17,Córdoba CF,11,13,14,50:57,-7,46
18,Gimnàstic,10,12,16,31:41,-10,42
19,UD Salamanca,12,6,20,41:59,-18,42
20,CD Tenerife,7,10,21,36:61,-25,31
21,Ponferradina,4,17,17,31:58,-27,29
22,Albacete,6,11,21,29:54,-25,29
