Pos,Equipo,G,E,P,Goles,+/-,Pts
1,RCD Espanyol,24,10,8,71:28,43,82
2,RCD Mallorca,24,10,8,54:28,26,82
3,CD Leganés,21,10,11,51:32,19,73
4,UD Almería,21,10,11,61:40,21,73
5,Girona FC,20,11,11,47:36,11,71
6,Rayo Vallecano,19,10,13,52:40,12,67
7,Real Sporting,17,14,11,37:28,9,65
8,Ponferradina,15,12,15,45:50,-5,57
9,UD Las Palmas,14,14,14,46:53,-7,56
10,CD Mirandés,14,12,16,38:41,-3,54
11,CF Fuenlabrada,12,18,12,45:46,-1,54
12,Málaga CF,14,11,17,37:47,-10,53
13,Real Oviedo,11,19,12,45:46,-1,52
14,CD Tenerife,13,13,16,36:36,0,52
15,Real Zaragoza,13,11,18,37:43,-6,50
16,FC Cartagena,12,13,17,44:52,-8,49
17,AD Alcorcón,13,9,20,32:42,-10,48
18,CD Lugo,11,14,17,38:53,-15,47
19,CE Sabadell,11,13,18,40:48,-8,46
20,UD Logroñés,11,11,20,28:53,-25,44
21,CD Castellón,11,8,23,35:54,-19,41
22,Albacete,9,11,22,30:53,-23,38
