Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Elche CF,23,13,6,54:27,27,82
2,Villarreal,21,14,7,68:38,30,77
3,UD Almería,22,8,12,72:50,22,74
4,Girona FC,21,8,13,74:56,18,71
5,AD Alcorcón,21,6,15,57:55,2,69
6,UD Las Palmas,18,12,12,62:55,7,66
7,Ponferradina,19,9,14,57:50,7,66
8,RM Castilla,17,8,17,80:62,18,59
9,Barcelona B,15,12,15,76:71,5,57
10,Real Sporting,15,11,16,60:53,7,56
11,CD Lugo,15,11,16,46:54,-8,56
12,CD Numancia,13,16,13,53:55,-2,55
13,Recreativo,15,9,18,46:57,-11,54
14,Córdoba CF,15,9,18,55:55,0,54
15,CD Mirandés,13,13,16,35:51,-16,52
16,CE Sabadell,14,10,18,54:69,-15,52
17,Hércules CF,13,11,18,43:53,-10,50
18,CD Guadalajara,12,14,16,46:53,-7,50
19,Real Murcia,12,11,19,43:56,-13,47
20,Racing,12,10,20,38:51,-13,46
21,SD Huesca,11,12,19,46:58,-12,45
22,Xerez CD,7,9,26,38:74,-36,30
