Pos,Equipo,G,E,P,Goles,+/-,Pts
1,SD Eibar,21,11,6,56:40,16,74
2,UD Almería,22,7,9,60:32,28,73
3,Real Valladolid,20,9,9,62:42,20,69
4,CD Tenerife,19,9,10,51:31,20,66
5,Girona FC,19,7,12,54:39,15,64
6,Real Oviedo,16,15,7,50:34,16,63
7,Ponferradina,16,12,10,54:48,6,60
8,UD Las Palmas,15,13,10,51:46,5,58
9,FC Cartagena,16,4,18,55:55,0,52
10,UD Ibiza,12,15,11,49:49,0,51
11,Burgos CF,14,8,16,38:37,1,50
12,SD Huesca,12,14,12,45:37,8,50
13,CD Leganés,12,13,13,43:46,-3,49
14,Real Zaragoza,10,19,9,33:39,-6,49
15,CD Lugo,9,19,10,43:47,-4,46
16,CD Mirandés,13,7,18,49:58,-9,46
17,Real Sporting,10,11,17,40:45,-5,41
18,Málaga CF,10,11,17,34:55,-21,41
19,Real Sociedad B,9,10,19,38:53,-15,37
20,SD Amorebieta,7,16,15,42:55,-13,37
21,CF Fuenlabrada,5,14,19,34:57,-23,29
22,AD Alcorcón,4,10,24,32:68,-36,22
