Pos,Equipo,G,E,P,Goles,+/-,Pts
1,SD Eibar,19,14,9,49:28,21,71
2,RC Deportivo,19,12,11,48:36,12,69
3,Barcelona B,20,6,16,60:47,13,66
4,Real Murcia,16,17,9,55:44,11,65
5,Real Sporting,16,16,10,63:51,12,64
6,UD Las Palmas,18,9,15,51:50,1,63
7,Córdoba CF,16,13,13,46:43,3,61
8,Recreativo,16,13,13,53:53,0,61
9,AD Alcorcón,16,11,15,46:40,6,59
10,CE Sabadell,17,8,17,52:59,-7,59
11,CD Tenerife,15,9,18,46:49,-3,54
12,CD Lugo,14,12,16,41:48,-7,54
13,CD Numancia,11,21,10,42:41,1,54
14,Real Zaragoza,13,14,15,49:53,-4,53
15,Ponferradina,13,12,17,46:49,-3,51
16,Girona FC,12,15,15,52:50,2,51
17,RCD Mallorca,12,15,15,46:57,-11,51
18,Alavés,13,12,17,57:57,0,51
19,CD Mirandés,13,11,18,39:56,-17,50
20,RM Castilla,13,10,19,49:56,-7,49
21,Real Jaén CF,12,12,18,43:49,-6,48
22,Hércules CF,11,12,19,45:62,-17,45
