Pos,Equipo,G,E,P,Goles,+/-,Pts
1,CA Osasuna,23,8,7,53:33,20,77
2,Granada CF,20,11,7,47:25,22,71
3,Albacete,18,14,6,51:32,19,68
4,RCD Mallorca,18,10,10,51:35,16,64
5,Málaga CF,17,11,10,42:29,13,62
6,Cádiz CF,16,14,8,52:33,19,62
7,RC Deportivo,15,16,7,47:31,16,61
8,Real Oviedo,15,12,11,42:42,0,57
9,UD Almería,14,13,11,48:38,10,55
10,Real Sporting,14,13,11,39:32,7,55
11,AD Alcorcón,14,9,15,35:38,-3,51
12,Elche CF,12,14,12,43:46,-3,50
13,UD Las Palmas,11,16,11,44:45,-1,49
14,Real Zaragoza,12,11,15,44:45,-1,47
15,Extremadura,12,9,17,41:47,-6,45
16,CD Numancia,10,14,14,42:48,-6,44
17,CD Tenerife,9,16,13,37:46,-9,43
18,CD Lugo,9,14,15,41:50,-9,41
19,R. Majadahonda,11,8,19,40:54,-14,41
20,Gimnàstic,8,7,23,22:55,-33,31
21,Córdoba CF,6,12,20,42:71,-29,30
22,Reus Deportiu,5,6,27,16:44,-28,21
