Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Real Betis,25,9,8,73:40,33,84
2,Real Sporting,21,19,2,57:27,30,82
3,Girona FC,24,10,8,63:35,28,82
4,UD Las Palmas,22,12,8,73:47,26,78
5,Real Valladolid,21,9,12,65:40,25,72
6,Real Zaragoza,15,16,11,61:58,3,61
7,Ponferradina,16,12,14,55:51,4,60
8,CD Mirandés,16,11,15,42:44,-2,59
9,UE Llagostera,15,12,15,41:41,0,57
10,CD Leganés,15,11,16,48:42,6,56
11,AD Alcorcón,12,18,12,44:49,-5,54
12,CD Numancia,12,17,13,54:55,-1,53
13,Alavés,14,11,17,49:53,-4,53
14,Albacete,14,9,19,55:65,-10,51
15,CD Lugo,11,16,15,48:56,-8,49
16,RCD Mallorca,13,9,20,51:64,-13,48
17,CD Tenerife,11,15,16,41:48,-7,48
18,CA Osasuna,11,12,19,41:60,-19,45
19,Racing,12,8,22,42:53,-11,44
20,Recreativo,10,11,21,37:59,-22,41
21,CE Sabadell,8,14,20,41:66,-25,38
22,Barcelona B,9,9,24,55:83,-28,36
