Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Levante UD,25,9,8,57:32,25,84
2,Girona FC,20,10,12,65:45,20,70
3,Getafe CF,18,14,10,55:43,12,68
4,CD Tenerife,16,18,8,50:37,13,66
5,Cádiz CF,16,16,10,55:40,15,64
6,SD Huesca,16,15,11,53:43,10,63
7,Real Valladolid,18,9,15,52:47,5,63
8,Real Oviedo,17,10,15,47:47,0,61
9,CD Lugo,14,13,15,49:52,-3,55
10,Córdoba CF,14,13,15,42:52,-10,55
11,Reus Deportiu,13,16,13,31:29,2,55
12,Rayo Vallecano,14,11,17,44:44,0,53
13,Sevilla Atl.,13,14,15,55:56,-1,53
14,Gimnàstic,12,16,14,47:51,-4,52
15,UD Almería,14,9,19,44:49,-5,51
16,Real Zaragoza,12,14,16,50:52,-2,50
17,CD Numancia,11,17,14,40:49,-9,50
18,AD Alcorcón,13,11,18,32:43,-11,50
19,UCAM Murcia,11,15,16,42:51,-9,48
20,RCD Mallorca,9,18,15,42:50,-8,45
21,Elche CF,11,10,21,49:63,-14,43
22,CD Mirandés,9,14,19,40:66,-26,41
