Pos,Equipo,G,E,P,Goles,+/-,Pts
1,UD Almería,24,9,9,68:35,33,81
2,Real Valladolid,24,9,9,71:43,28,81
3,SD Eibar,23,11,8,61:45,16,80
4,UD Las Palmas,19,13,10,57:47,10,70
5,CD Tenerife,20,9,13,53:37,16,69
6,Girona FC,20,8,14,57:42,15,68
7,Real Oviedo,17,17,8,57:41,16,68
8,Ponferradina,17,12,13,57:55,2,63
9,FC Cartagena,18,6,18,63:57,6,60
10,Real Zaragoza,12,20,10,39:46,-7,56
11,Burgos CF,15,10,17,41:41,0,55
12,CD Leganés,13,15,14,50:51,-1,54
13,SD Huesca,13,15,14,49:44,5,54
14,CD Mirandés,15,7,20,58:62,-4,52
15,UD Ibiza,12,16,14,53:59,-6,52
16,CD Lugo,10,20,12,46:52,-6,50
17,Real Sporting,11,13,18,43:48,-5,46
18,Málaga CF,11,12,19,36:57,-21,45
19,SD Amorebieta,9,16,17,44:63,-19,43
20,Real Sociedad B,10,10,22,43:61,-18,40
21,CF Fuenlabrada,6,15,21,39:65,-26,33
22,AD Alcorcón,6,11,25,37:71,-34,29
