Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Cádiz CF,18,12,8,48:35,13,66
2,SD Huesca,18,7,13,49:40,9,61
3,Real Zaragoza,17,10,11,53:43,10,61
4,UD Almería,16,12,10,58:38,20,60
5,Girona FC,15,11,12,43:38,5,56
6,Elche CF,14,13,11,47:39,8,55
7,AD Alcorcón,12,17,9,49:46,3,53
8,Rayo Vallecano,11,20,7,51:42,9,53
9,CD Tenerife,14,11,13,47:41,6,53
10,CF Fuenlabrada,12,15,11,41:37,4,51
11,Real Sporting,13,11,14,37:33,4,50
12,CD Mirandés,11,17,10,52:56,-4,50
13,UD Las Palmas,12,14,12,40:41,-1,50
14,Ponferradina,11,15,12,42:45,-3,48
15,RC Deportivo,11,15,12,39:54,-15,48
16,Málaga CF,9,19,10,31:31,0,46
17,Albacete,11,12,15,30:42,-12,45
18,CD Numancia,11,11,16,40:46,-6,44
19,Real Oviedo,10,14,14,41:48,-7,44
20,CD Lugo,9,15,14,36:50,-14,42
21,Extremadura,8,13,17,37:51,-14,37
22,Racing,4,18,16,37:52,-15,30
