Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Real Betis,25,8,9,85:44,41,83
2,Rayo Vallecano,23,10,9,73:48,25,79
3,Barcelona B,20,11,11,85:62,23,71
4,Elche CF,18,15,9,55:42,13,69
5,Granada CF,18,14,10,71:47,24,68
6,RC Celta,17,16,9,62:43,19,67
7,Real Valladolid,19,9,14,65:51,14,66
8,Xerez CD,17,9,16,60:64,-4,60
9,AD Alcorcón,17,7,18,57:52,5,58
10,CD Numancia,17,6,19,65:63,2,57
11,Girona FC,15,12,15,58:56,2,57
12,Recreativo,12,20,10,44:37,7,56
13,FC Cartagena,16,8,18,48:63,-15,56
14,SD Huesca,13,16,13,39:45,-6,55
15,UD Las Palmas,13,15,14,56:71,-15,54
16,Córdoba CF,13,13,16,58:63,-5,52
17,Villarreal CF B,15,6,21,43:63,-20,51
18,Gimnàstic,12,13,17,37:45,-8,49
19,UD Salamanca,13,7,22,46:68,-22,46
20,CD Tenerife,9,11,22,42:66,-24,38
21,Ponferradina,5,19,18,36:63,-27,34
22,Albacete,7,11,24,35:64,-29,32
