Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Rayo Vallecano,20,13,5,65:40,25,73
2,SD Huesca,20,11,7,57:36,21,71
3,Real Sporting,20,8,10,56:32,24,68
4,Real Zaragoza,17,11,10,48:39,9,62
5,CD Numancia,17,10,11,47:35,12,61
6,Cádiz CF,15,15,8,37:23,14,60
7,Real Oviedo,16,11,11,49:42,7,59
8,Real Valladolid,16,10,12,57:49,8,58
9,CA Osasuna,14,15,9,40:30,10,57
10,Granada CF,15,10,13,51:45,6,55
11,CD Tenerife,14,11,13,54:47,7,53
12,CD Lugo,15,8,15,37:43,-6,53
13,Reus Deportiu,12,15,11,29:35,-6,51
14,Albacete,11,14,13,31:38,-7,47
15,CyD Leonesa,10,14,14,47:59,-12,44
16,AD Alcorcón,10,14,14,29:41,-12,44
17,UD Almería,11,10,17,35:42,-7,43
18,Gimnàstic,12,7,19,36:46,-10,43
19,Córdoba CF,11,6,21,48:63,-15,39
20,Barcelona B,8,13,17,40:49,-9,37
21,Lorca FC,6,9,23,32:60,-28,27
22,Sevilla Atl.,5,11,22,24:55,-31,26
