Pos,Equipo,G,E,P,Goles,+/-,Pts
1,RC Deportivo,29,4,9,76:45,31,91
2,RC Celta,26,7,9,83:37,46,85
3,Real Valladolid,23,13,6,69:37,32,82
4,AD Alcorcón,21,10,11,58:42,16,73
5,Hércules CF,22,6,14,62:43,19,72
6,Córdoba CF,20,11,11,52:43,9,71
7,UD Almería,18,16,8,63:43,20,70
8,Barcelona B,16,11,15,63:53,10,59
9,UD Las Palmas,16,10,16,58:59,-1,58
10,CD Numancia,15,12,15,54:52,2,57
11,Elche CF,17,6,19,56:58,-2,57
12,Villarreal CF B,14,10,18,54:64,-10,52
13,SD Huesca,14,9,19,49:63,-14,51
14,Xerez CD,13,11,18,50:66,-16,50
15,Girona FC,12,13,17,58:61,-3,49
16,CD Guadalajara,14,7,21,50:75,-25,49
17,Recreativo,12,11,19,49:52,-3,47
18,Real Murcia,13,8,21,49:67,-18,47
19,CE Sabadell,11,13,18,45:64,-19,46
20,FC Cartagena,9,13,20,37:58,-21,40
21,CD Alcoyano,9,10,23,46:78,-32,37
22,Gimnàstic,6,13,23,37:58,-21,31
