Pos,Equipo,G,E,P,Goles,+/-,Pts
1,RCD Espanyol,23,9,6,66:23,43,78
2,RCD Mallorca,21,9,8,47:25,22,72
3,UD Almería,19,9,10,54:35,19,66
4,CD Leganés,18,9,11,42:32,10,63
5,Real Sporting,16,13,9,36:25,11,61
6,Girona FC,17,10,11,43:35,8,61
7,Rayo Vallecano,16,10,12,44:37,7,58
8,Ponferradina,14,11,13,40:42,-2,53
9,CD Mirandés,14,10,14,36:36,0,52
10,UD Las Palmas,12,14,12,42:48,-6,50
11,Málaga CF,13,11,14,34:44,-10,50
12,CF Fuenlabrada,11,17,10,42:42,0,50
13,Real Oviedo,10,17,11,40:39,1,47
14,CD Tenerife,12,11,15,31:32,-1,47
15,Real Zaragoza,11,11,16,31:36,-5,44
16,FC Cartagena,10,12,16,37:47,-10,42
17,AD Alcorcón,11,9,18,29:39,-10,42
18,CD Castellón,11,8,19,35:44,-9,41
19,UD Logroñés,10,11,17,26:47,-21,41
20,CE Sabadell,9,13,16,36:44,-8,40
21,CD Lugo,8,13,17,32:50,-18,37
22,Albacete,9,9,20,25:46,-21,36
