Pos,Equipo,G,E,P,Goles,+/-,Pts
1,CD Leganés,17,14,7,53:31,22,65
2,Alavés,18,11,9,41:32,9,65
3,Gimnàstic,15,16,7,51:40,11,61
4,Real Zaragoza,16,12,10,46:36,10,60
5,Real Oviedo,16,11,11,51:41,10,59
6,CA Osasuna,15,13,10,37:34,3,58
7,Elche CF,13,17,8,35:35,0,56
8,Girona FC,14,14,10,42:28,14,56
9,AD Alcorcón,15,10,13,40:40,0,55
10,Córdoba CF,16,7,15,51:50,1,55
11,CD Numancia,11,18,9,52:46,6,51
12,CD Tenerife,12,15,11,40:40,0,51
13,CD Mirandés,13,12,13,54:50,4,51
14,CD Lugo,12,15,11,42:45,-3,51
15,Real Valladolid,12,13,13,43:44,-1,49
16,SD Huesca,11,12,15,40:44,-4,45
17,RCD Mallorca,10,13,15,34:41,-7,43
18,Ponferradina,11,10,17,36:49,-13,43
19,UD Almería,8,16,14,38:48,-10,40
20,UE Llagostera,11,6,21,38:50,-12,39
21,Albacete,9,9,20,36:54,-18,36
22,Bilbao Athletic,7,8,23,30:52,-22,29
