Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Rayo Vallecano,21,13,8,67:48,19,76
2,SD Huesca,21,12,9,61:40,21,75
3,Real Zaragoza,20,11,11,57:44,13,71
4,Real Sporting,21,8,13,60:40,20,71
5,Real Valladolid,19,10,13,69:55,14,67
6,CD Numancia,18,11,13,52:41,11,65
7,Real Oviedo,18,11,13,54:48,6,65
8,CA Osasuna,16,16,10,44:34,10,64
9,Cádiz CF,16,16,10,42:29,13,64
10,Granada CF,17,10,15,55:50,5,61
11,CD Tenerife,15,14,13,58:50,8,59
12,CD Lugo,15,10,17,39:48,-9,55
13,AD Alcorcón,12,16,14,37:42,-5,52
14,Reus Deportiu,12,16,14,31:42,-11,52
15,Gimnàstic,15,7,20,44:50,-6,52
16,Córdoba CF,15,6,21,57:65,-8,51
17,Albacete,11,16,15,35:46,-11,49
18,UD Almería,12,12,18,38:45,-7,48
19,CyD Leonesa,11,15,16,54:67,-13,48
20,Barcelona B,10,14,18,46:54,-8,44
21,Lorca FC,8,9,25,37:68,-31,33
22,Sevilla Atl.,7,11,24,29:60,-31,32
