Pos,Equipo,G,E,P,Goles,+/-,Pts
1,CD Leganés,18,13,7,50:23,27,67
2,Real Valladolid,20,7,11,46:31,15,67
3,SD Eibar,19,7,12,65:42,23,64
4,RCD Espanyol,15,16,7,54:39,15,61
5,Real Oviedo,15,13,10,47:33,14,58
6,Racing,16,10,12,59:52,7,58
7,Elche CF,16,10,12,41:38,3,58
8,Burgos CF,16,9,13,49:49,0,57
9,Real Sporting,15,11,12,43:38,5,56
10,Levante UD,13,16,9,45:41,4,55
11,Racing Ferrol,14,12,12,43:46,-3,54
12,CD Tenerife,14,10,14,35:36,-1,52
13,FC Cartagena,13,9,16,35:45,-10,48
14,Real Zaragoza,11,13,14,37:38,-1,46
15,Albacete,11,12,15,44:51,-7,45
16,CD Mirandés,11,11,16,43:51,-8,44
17,CD Eldense,10,13,15,42:53,-11,43
18,SD Huesca,9,15,14,31:30,1,42
19,AD Alcorcón,10,11,17,27:47,-20,41
20,Villarreal CF B,10,9,19,36:55,-19,39
21,SD Amorebieta,9,11,18,34:52,-18,38
22,FC Andorra,9,10,19,29:45,-16,37
